[20260820_16:43:45_798]#1985199 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000013,3,1,31,1,1980901,1985199,4298
[20260820_16:43:46_134]#1985207 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:46_134]#1985210 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0023 link hplc txType 0 bakRt 2 0009 0008 packs=0
[20260820_16:43:46_143]#1985239 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000014,3,1,32,1,1980946,1985239,4293
[20260820_16:43:46_475]#1985271 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:46_476]#1985274 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0049 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:46_812]#1985303 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000015,3,1,33,1,1980992,1985303,4311
[20260820_16:43:46_817]#1985313 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:46_818]#1985314 | info | nwk.c (349)| aps tx retry_cnt 0 dst 000b link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:43:47_160]#1985356 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:47_161]#1985359 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0009 link hplc txType 0 bakRt 2 0017 0008 packs=0
[20260820_16:43:47_497]#1986156 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000017,3,1,35,1,1981853,1986156,4303
[20260820_16:43:47_507]#1986214 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:47_508]#1986215 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0025 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:47_841]#1986269 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000010,3,1,28,1,1980273,1986269,5996
[20260820_16:43:48_184]#1986329 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000016,3,1,34,1,1981283,1986329,5046
[20260820_16:43:48_194]#1986337 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:48_194]#1986339 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0013 link hplc txType 0 bakRt 0 0000 0000 packs=0
